department_id,name,floor,description,head_doctor_id
1,Cardiology,2,Heart and vascular diseases,D009
2,Orthopedics,3,Bone and joint care,D004
3,Neurology,4,Nervous system,D003
4,Pediatrics,1,Child health,D006
5,Oncology,5,Cancer treatment,D007
6,Dermatology,2,Skin diseases,D001
7,ENT,3,Ear Nose Throat,D008
8,Internal Medicine,4,Adult general medicine,D005
9,Endocrinology,5,Hormones & metabolism,D010
10,Gastroenterology,6,Digestive system,D002
11,Nephrology,1,Kidneys,D011
12,Rheumatology,9,Autoimmune & joints,D012
13,Ophthalmology,2,Eye care,D013
14,Psychiatry,5,Mental health,D014
15,Pulmonology,3,Lung & respiratory,D015
16,Neurology II,6,Advanced neurology,D016
17,Cardiology II,7,Advanced cardio,D017
18,Oncology II,8,Advanced oncology,D018
19,Orthopedics II,9,Spine & joints,D019
20,ENT II,10,Head & neck,D020
21,Geriatrics,3,Senior care,D021
22,Neonatology,2,Newborn care,D022
23,Immunology,5,Immune system,D023
24,Allergy,4,Allergy treatment,D024
25,Rehabilitation,10,Physical therapy,D025
